04/09/15 Jack King phototran 2 75KHz
402 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
403 F 984 0x46 0x0 0x3 0xd8 0x2c 0xff 
404 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
405 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
406 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
407 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
408 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
409 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
410 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
411 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
412 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
413 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
414 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
415 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
416 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
417 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
418 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
419 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
420 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
421 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
422 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
423 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
424 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
